NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instance1219_m=4_n=25_l=15_c=10_s=0|295|9|295|9|2|não|0.005154|0.0017262|0.007283
instance1220_m=4_n=25_l=15_c=10_s=1|356|8|356|8|1|não|0.0050119|0.0008431|0.0062151
instance1221_m=4_n=25_l=15_c=10_s=2|219|9|219|9|2|não|0.0052333|0.0013669|0.0070134
instance1222_m=4_n=25_l=15_c=10_s=0|237|4|237|4|1|não|0.0049896|0.0006338|0.0058888
instance1223_m=4_n=25_l=15_c=10_s=1|335|4|335|4|1|não|0.0044031|0.0006232|0.0052913
instance1224_m=4_n=25_l=15_c=10_s=2|203|4|203|4|1|não|0.0043894|0.0006209|0.0052746
instance1225_m=4_n=25_l=15_c=10_s=0|250|3|250|3|1|não|0.0045006|0.0006488|0.0053951
instance1226_m=4_n=25_l=15_c=10_s=1|282|3|282|3|1|não|0.0044355|0.0005759|0.0052568
instance1227_m=4_n=25_l=15_c=10_s=2|163|3|163|3|1|não|0.0044414|0.0005735|0.0052587
instance1228_m=4_n=25_l=15_c=10_s=0|249|3|249|3|1|não|0.0044491|0.0005949|0.0052981
instance1229_m=4_n=25_l=15_c=10_s=1|294|3|294|3|1|não|0.0044441|0.0005967|0.005294
instance1230_m=4_n=25_l=15_c=10_s=2|209|4|209|4|2|não|0.0045965|0.0009044|0.0057693
instance1231_m=4_n=25_l=15_c=10_s=0|333|4|333|4|1|não|0.0044269|0.0006035|0.0052841
instance1232_m=4_n=25_l=15_c=10_s=1|351|4|351|4|1|não|0.0040289|0.0005966|0.0048793
instance1233_m=4_n=25_l=15_c=10_s=2|197|2|197|2|0|não|0.0052481|0.000593|0.0062759
instance1234_m=4_n=25_l=15_c=10_s=0|231|4|231|4|1|não|0.0040793|0.000945|0.0055647
instance1235_m=4_n=25_l=15_c=10_s=1|258|4|258|4|1|não|0.0041184|0.0006216|0.0050047
instance1236_m=4_n=25_l=15_c=10_s=2|192|4|192|4|1|não|0.0043613|0.0006214|0.0052433
instance1237_m=4_n=25_l=15_c=10_s=0|283|5|283|5|1|não|0.0041331|0.0006993|0.005129
instance1238_m=4_n=25_l=15_c=10_s=1|363|5|363|5|1|não|0.0044835|0.0006964|0.0054755
instance1239_m=4_n=25_l=15_c=10_s=2|231|5|231|5|2|não|0.004643|0.0009959|0.0060786
instance1240_m=4_n=25_l=15_c=10_s=0|284|8|284|8|1|não|0.0043214|0.0008299|0.0055036
instance1241_m=4_n=25_l=15_c=10_s=1|344|8|344|8|1|não|0.0045612|0.0010595|0.00636
instance1242_m=4_n=25_l=15_c=10_s=2|191|5|191|5|1|não|0.0042181|0.0006611|0.0051619
